introduction|before|intro-img0.png|Illustration of The Journey of Ethics|A wise guide leading us on the path of moral understanding
# coreContent|before|core-img0.png|[Add alt text for coreContent image]|[Optional caption]
# interactiveSection|before|interactive-img0.png|[Add alt text for interactiveSection image]|[Optional caption]
# integration|before|integration-img0.png|[Add alt text for integration image]|[Optional caption]

# === SUGGESTED IMAGES FROM ANALOGIES ===

coreContent|after|analogy-3.png|Illustration of The Golden Mean|Like tuning a guitar string—too loose or too tight produces a bad sound, but the right tension creates beautiful music
coreContent|after|analogy-4.png|Illustration of Moral Compass|Like a compass that helps travelers find their way—good character guides us through difficult choices
coreContent|after|analogy-5.png|Illustration of Web of Ethics|Like invisible threads connecting all people—every act of honesty and kindness strengthens the fabric that holds society together

# === SUGGESTED IMAGES FROM KEY CONCEPTS ===

coreContent|inline|concept-0.png|Illustration of The Golden Rule|The Golden Rule—treat others as you would like to be treated—appears in virtually every culture and religion
coreContent|inline|concept-1.png|Illustration of Empathy and Compassion|Empathy and compassion are the emotional foundations of ethical behavior
coreContent|inline|concept-2.png|Illustration of Virtue Ethics|Virtue ethics teaches that good character is built through practice—we become good by repeatedly choosing good actions
coreContent|inline|concept-3.png|Illustration of Eudaimonia|Eudaimonia (flourishing) is the goal of ethics: living well by developing virtues and love
coreContent|inline|concept-4.png|Illustration of Moral Development|Moral development is a lifelong journey—our understanding of right and wrong deepens as we grow
coreContent|inline|concept-5.png|Illustration of Connection|Ethics connects us all: every act of kindness strengthens the web of human connection
